Name,Price in Rupees,Ratings
"APPLE iPhone SE (White, 64 GB)","₹32,999",4.5
"APPLE iPhone SE (Black, 64 GB)","₹32,999",4.5
"APPLE iPhone SE (Black, 128 GB)","₹37,999",4.5
"APPLE iPhone SE (White, 128 GB)","₹37,999",4.5
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)","₹41,999",4.6
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)","₹46,999",4.6
"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)","₹46,999",4.6
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)","₹46,999",4.6
"APPLE iPhone 11 (Black, 64 GB)","₹46,999",4.6
"APPLE iPhone 11 (Red, 64 GB)","₹46,999",4.6
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)","₹47,999",4.5
"Apple iPhone SE (Black, 256 GB) (Includes EarPods, Power Adapter)","₹47,999",4.5
"APPLE iPhone 8 Plus (Space Grey, 64 GB)","₹49,900",4.6
"APPLE iPhone 8 Plus (Gold, 64 GB)","₹49,900",4.6
"APPLE iPhone 8 Plus (Silver, 64 GB)","₹49,900",4.6
"APPLE iPhone 11 (Purple, 64 GB)","₹51,999",4.6
"APPLE iPhone 11 (White, 64 GB)","₹51,999",4.6
"APPLE iPhone 11 (Green, 64 GB)","₹51,999",4.6
"APPLE iPhone 11 (Black, 128 GB)","₹56,999",4.6
"APPLE iPhone 11 (Red, 128 GB)","₹56,999",4.6
"APPLE iPhone 12 Mini (Green, 64 GB)","₹65,900",4.5
"APPLE iPhone 12 Mini (Red, 64 GB)","₹65,900",4.5
"APPLE iPhone 12 Mini (Black, 64 GB)","₹65,900",4.5
"APPLE iPhone 12 Mini (White, 64 GB)","₹65,900",4.5
